吾爱精选,#genre#
串烧[1280*720],https://vd4.bdstatic.com/mda-mkn4iq79ihtufbc1/sc/cae_h264/1637639849265611965/mda-mkn4iq79ihtufbc1.mp4
广富林,https://wp.wangshi520.com/view.php/4ce90e4a994cdf6100f654bef1934405.mp4
TVBox,https://od.lk/s/ODVfMjYyMzc3Njlf/%E7%8C%ABTVbox.mp4
悟空遥控器,https://od.lk/s/ODVfMjYyMzc3NzJf/%E6%82%9F%E7%A9%BA.mp4
网络接口,https://od.lk/s/ODVfMjYyMzc3NzFf/%E7%BD%91%E7%BB%9C%E6%8E%A5%E5%8F%A3.mp4

吾爱主机,#genre#
对马岛,https://pan.bilnn.cn/api/v3/file/sourcejump/QBWmBqCb/RXQtX9hLMEBE2cEzzmykbvVFMMByt2lAREJUGnlwpmo*
对马岛2,https://pan.bilnn.cn/api/v3/file/sourcejump/Yq2zqaiv/vwijn-NCrkhqFqazmWjp-OG83m7hv7uEfCEKj87NxPY*
对马岛3,https://pan.bilnn.com/api/v3/file/sourcejump/Bo4Qo1i2/AeGtI45XnPmyNHVE4Emuw5FzVvqstDCIu4GXb8fZlaE*
对马岛4,https://pan.bilnn.cn/api/v3/file/sourcejump/39Mb9ZFD/su9SL4CnIAfxqFHZlQnNVxbWtwIyXQtnn63KdkNxis4*
对马岛5,https://pan.bilnn.com/api/v3/file/sourcejump/NKvmKxfW/iv6lATr7Pw3W8KJxVRlFh2ucLv1tkubVhnmu7UXYA9Q*
对马岛6,https://pan.bilnn.com/api/v3/file/sourcejump/16A863cw/qsOWBWKLDse69pAZl4GfRDXvU_IadF70IDDLZmajVtI*
对马岛7,https://pan.bilnn.com/api/v3/file/sourcejump/7k1Ylofx/Q6cQUYeSEmHtyOb9qhV0JlbVArHCxJvn-rOnU7Ava-4*
孤岛惊魂,https://pan.bilnn.cn/api/v3/file/sourcejump/49JXGJTZ/MIm1fdcBV81jgi9lpPvkI5oISbW5ngINvzzzBzOSlmk*
刺客信条,https://pan.bilnn.cn/api/v3/file/sourcejump/qvmKyAFd/CLvVO8uNyxgk4rHPOltdL_GoQncToK0FGTCxowE0RpM*
荒野大嫖客,https://pan.bilnn.com/api/v3/file/sourcejump/oEgb6EsO/I5dj43bXsnFo93s0AxlgJpCABqBFtLV9hxF2P_-9j2o*
赛车,https://pan.bilnn.com/api/v3/file/sourcejump/gEeYqqUo/nTqIb_-fa9oIY4bUSFFUPxuGa5YqWr4jBv0bR6q4-9k*
蜘蛛侠,https://pan.bilnn.com/api/v3/file/sourcejump/nLYPmkSe/p2a43IynTEetg_EHfSAGEqF7M3Js62tBGUMvJq4RoCM*
只狼1,https://pan.bilnn.com/api/v3/file/sourcejump/ynLk6YF5/t58Bd9fkj-HAc5J15-nV_a-gdyJq5_sOvg7IxmQYOBs*
只狼2,https://pan.bilnn.com/api/v3/file/sourcejump/nLYPmkSe/p2a43IynTEetg_EHfSAGEqF7M3Js62tBGUMvJq4RoCM*
只狼3,https://pan.bilnn.com/api/v3/file/sourcejump/Z1GzyYUo/TLPh5bIsBgcUqWMw5_WNpAN5jNb2CqXSMv4O3S6hl8Q*

吾爱王者,#genre#
听音识美人1,https://pan.bilnn.cn/api/v3/file/sourcejump/kL5gPeUA/GP35DAyN2q-S2QjeEEJTiPkiPKGjqh8E289IMcsLLEY*
听音识美人2,https://pan.bilnn.com/api/v3/file/sourcejump/MBZ4rgcv/GIRT8ND3hdydesMpyfwK28BY0JQGu8GOcGkGj-I3iVM*
听音识美人3,https://pan.bilnn.cn/api/v3/file/sourcejump/egENMBtZ/bt_8tsVaRZt_8DYg7Kn-0B2ClcQz8a4xC_LYfYLBkIE*
听音识美人4,https://pan.bilnn.com/api/v3/file/sourcejump/2zJmqQIG/3A8y0IlLs3jIDfhKROTDBOQj3ZHGA4Ik3ZmRdba_LlU*
听音识美人5,https://pan.bilnn.com/api/v3/file/sourcejump/WN1OMBt9/VoZPYueG5AMb5z2XXuzm5cTSCOiK52J0TqTMPW7gL4E*
王者挑战,https://pan.bilnn.cn/api/v3/file/sourcejump/qvmzBmFd/uYZMoHWc-0oqdYmeF4aBy40h11JkXyyE1VNVSDre7mY*



吾爱游戏,#genre#
王者荣耀赛事,https://live.52sf.ga/huya/kpl
暴雪频道,https://live.52sf.ga/huya/blizzardgame1
ESLCSGO,https://live.52sf.ga/huya/eslcsgo
游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
游戏风云[1920*1080],http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
黑莓电竞[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225559/index.m3u8
黑莓电竞[1920*1080],http://39.134.65.179/PLTV/88888888/224/3221225559/index.m3u8
黑莓电竞[1920*1080],http://39.134.65.166/PLTV/88888888/224/3221225559/index.m3u8
黑莓电竞[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225559/index.m3u8
黑莓电竞[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225559/index.m3u8
黑莓电竞[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225559/index.m3u8
黑莓电竞[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225653/index.m3u8
黑莓电竞[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225749/index.m3u8
黑莓电竞[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225750/index.m3u8
黑莓电竞[1920*1080],http://111.40.196.9/PLTV/88888888/224/3221225606/index.m3u8

吾爱动漫,#genre#
七龍珠改[960*720][960*720],https://epg.112114.xyz/huya/11601966
猫和老鼠[640*464][1024*576],https://epg.112114.xyz/huya/11352879
路飞[1920*1080],https://epg.112114.xyz/huya/16913382
蜡笔小新[960*736][960*736],https://epg.112114.xyz/huya/11352970
海绵宝宝[720*540][720*576],https://epg.112114.xyz/huya/11352919
中华小当家[640*432][640*432],https://epg.112114.xyz/huya/11342413
漫威宇宙电影[1280*544][1280*690],http://txtest-xp2p.p2p.huya.com/src/1448738325-1448738325-6222283726336819200-3048991600-10057-A-0-1.xs


吾爱音乐,#genre#
韩国动感舞曲1,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgr-2n9AUoqsakNg.mp4
韩国动感舞曲2,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgz-qc4gUo4vj-tQY.mp4
朴孝敏 –SKETCH,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAguq6r7gUouOyF4gE.mp4
欧美动感歌曲1,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgianW4gUoj9-Aaw.mp4
欧美动感歌曲2,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgpdia4gUo7oWfiAE.mp4
Girls Gone Wild,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgjd2w4gUou--ljQE.mp4
上下(中文版),https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgtd6M9QUokpHf7AY.mp4
迈克尔杰克逊,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgw9ma4gUo3YLDvgU.mp4
韩国DJ Soda Remix 2021 电音,https://vd3.bdstatic.com/mda-mev3hw0htz28h5wn/1080p/cae_h264/1622343504467773766/mda-mev3hw0htz28h5wn.mp4
韩国歌团001,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240095359203.mp4
韩国歌团002,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239978750464.mp4
韩国歌团003,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239858729476.mp4
韩国歌团004,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239755956819.mp4
韩国歌团005,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239987758613.mp4
